This is a list of all the entities you can use in the json file.
| ID   | name                              |
| 6403 | witchery.babayaga                 |
| 6404 | witchery.covenwitch               |
| 6405 | witchery.nightmare                |
| 6406 | witchery.spectre                  |
| 6407 | witchery.poltergeist              |
| 6408 | witchery.banshee                  |
| 6409 | witchery.spirit                   |
| 6410 | witchery.death                    |
| 6411 | witchery.witchhunter              |
| 6412 | witchery.lordoftorment            |
| 6413 | witchery.imp                      |
| 6414 | witchery.mindrake                 |
| 6415 | witchery.goblin                   |
| 6416 | witchery.goblinmog                |
| 6417 | witchery.goblingulg               |
